Date,Open,High,Low,Close,Volume,Trade_count,vwap
2021-11-15 09:00:00+00:00,150.0,150.36,149.76,150.35,3168,241,150.068052
2021-11-15 09:05:00+00:00,150.37,150.37,150.25,150.27,12462,159,150.356744
2021-11-15 09:10:00+00:00,150.27,150.31,150.27,150.29,1474,76,150.294851
2021-11-15 09:15:00+00:00,150.14,150.15,150.14,150.15,1186,45,150.137943
2021-11-15 09:20:00+00:00,150.05,150.1,150.05,150.1,842,26,150.058812
2021-11-15 09:25:00+00:00,150.11,150.11,150.11,150.11,333,13,150.105015
2021-11-15 09:30:00+00:00,150.05,150.11,150.05,150.11,2496,51,150.09131
2021-11-15 09:40:00+00:00,150.06,150.06,150.06,150.06,599,30,150.088264
2021-11-15 09:55:00+00:00,150.08,150.1,150.08,150.1,2316,41,150.097707
2021-11-15 10:00:00+00:00,150.15,150.15,150.15,150.15,631,30,150.148732
2021-11-15 10:05:00+00:00,150.14,150.15,150.14,150.15,1811,34,150.142777
2021-11-15 10:10:00+00:00,150.17,150.19,150.17,150.19,953,28,150.184638
2021-11-15 10:15:00+00:00,150.24,150.24,150.21,150.21,1618,59,150.215327
2021-11-15 10:20:00+00:00,150.2,150.2,150.19,150.19,742,19,150.193598
2021-11-15 10:25:00+00:00,150.18,150.18,150.18,150.18,296,14,150.186622
2021-11-15 10:30:00+00:00,150.16,150.16,150.16,150.16,563,42,150.159893
2021-11-15 10:40:00+00:00,150.15,150.16,150.15,150.16,601,14,150.155191
2021-11-15 10:45:00+00:00,150.1,150.1,150.1,150.1,319,31,150.114451
2021-11-15 10:50:00+00:00,150.15,150.15,150.15,150.15,575,11,150.15007
2021-11-15 10:55:00+00:00,150.11,150.11,150.11,150.11,224,10,150.109777
2021-11-15 11:00:00+00:00,150.11,150.11,150.11,150.11,297,17,150.107003
2021-11-15 11:05:00+00:00,150.11,150.11,150.11,150.11,781,17,150.11
2021-11-15 11:10:00+00:00,150.11,150.11,150.11,150.11,361,35,150.107424
2021-11-15 11:15:00+00:00,150.1,150.1,150.1,150.1,15476,34,150.100042
2021-11-15 11:20:00+00:00,150.1,150.15,150.1,150.15,1760,50,150.132898
2021-11-15 11:25:00+00:00,150.09,150.1,150.06,150.06,2312,79,150.079805
2021-11-15 11:30:00+00:00,150.09,150.1,150.09,150.1,976,23,150.095574
2021-11-15 11:35:00+00:00,150.15,150.15,150.15,150.15,531,11,150.149962
2021-11-15 11:40:00+00:00,150.15,150.15,150.12,150.15,2477,42,150.146088
2021-11-15 11:50:00+00:00,150.16,150.16,150.16,150.16,360,18,150.159722
2021-11-15 11:55:00+00:00,150.16,150.16,150.16,150.16,489,21,150.15728
2021-11-15 12:00:00+00:00,150.2,150.29,150.14,150.17,17546,291,150.233368
2021-11-15 12:05:00+00:00,150.2,150.2,150.19,150.19,2850,67,150.197653
2021-11-15 12:10:00+00:00,150.19,150.2,150.15,150.2,4162,136,150.183827
2021-11-15 12:15:00+00:00,150.18,150.24,150.18,150.24,7252,124,150.203181
2021-11-15 12:20:00+00:00,150.25,150.25,150.18,150.2,4137,152,150.213534
